step	Avg@1	Pass@1	ExecutorNativeFormatViolations	InvalidFormatTerminationRate	InvalidActionTerminationRate	PlannerInvalidFormatRate	PlannerFallbackRate	PlannerTagOnlyRate	checkpoint_path	eval_log
50	0.5429538402292463	0.5666666666666667	0.033333333333333326	0.044444444444444446	0.0	0.5222222222222221	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_50	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step50.log
100	0.6918009069230822	0.7222222222222222	0.0	0.0	0.0	0.47777777777777775	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_100	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step100.log
150	0.05715964867009057	0.2111111111111111	0.6777777777777778	0.7444444444444445	0.0	0.06666666666666665	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_150	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step150.log
200	0.17939816961685817	0.3111111111111111	0.5777777777777777	0.6444444444444445	0.011111111111111112	0.24444444444444446	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_200	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step200.log
250	0.5429718520906236	0.6111111111111112	0.0888888888888889	0.08888888888888889	0.13333333333333333	0.34444444444444444	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_250	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step250.log
300	0.6320036532150375	0.6777777777777778	0.022222222222222254	0.022222222222222223	0.011111111111111112	0.5	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_300	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step300.log
350	0.6686538793974452	0.7111111111111111	0.011111111111111072	0.011111111111111112	0.0	0.5111111111111111	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_350	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step350.log
400	0.3855316725042131	0.4222222222222222	0.1777777777777778	0.17777777777777778	0.0	0.7	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_400	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step400.log
450	-0.20000000298023224	0.0	1.0	1.0	0.0	1.0	0.0	1.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_450	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step450.log
500	-0.20000000298023224	0.0	1.0	1.0	0.0	1.0	0.0	1.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_500	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step500.log
550	-0.20000000298023224	0.0	1.0	1.0	0.0	1.0	0.0	1.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_550	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step550.log
600	-0.20000000298023224	0.0	1.0	1.0	0.0	1.0	0.0	1.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/global_step_600	/home/mavinomichael/agentgym_runs/logs/babyai_3agent_executor_reviewer_scaling_600_8gpu_no_tags_v1/eval_step600.log
